Circle,Site Id/ Cluster Name/ Activity,Status Date,Drive Status,Missing Test Case,Site Status,Device Count,Login Count,Audit
OR,ORBHU-767_BHU_P41,Jan 26 2025  4:34PM,Drive Completed,YES,Missing Test Case,1,1,Not Uploaded
BH,BHSAM-67_PAT_P41,Jan 28 2025 11:50AM,Drive Completed,YES,Missing Test Case,1,1,Not Uploaded
OR,ORKAL-04_CUT_P41,Jan 31 2025  7:31AM,Partial Closed,NO,Partial Closed,2,1,Not Uploaded
KK,BGM019_BLG_P40,Jan 31 2025  4:21PM,Partial Closed,NO,Partial Closed,1,1,Not Uploaded
MH,PUN5193_PNE_P41,Feb  1 2025 12:20AM,Partial Closed,NO,Partial Closed,1,1,Uploaded
CH,TTKR07_CHN_P41,Feb  1 2025  6:37PM,Drive Completed,NO,PASS,2,1,Uploaded
MH,PUN758_PNE_P41,Feb  3 2025  8:23PM,Drive Completed,YES,Missing Test Case,2,1,Not Uploaded
KK,NH4825_BIJ_P40,Feb 10 2025  7:45PM,Drive Completed,NO,PASS,2,1,Uploaded
MH,PUN1852_PNE_P41,Feb 18 2025 12:20AM,Partial Closed,NO,Partial Closed,4,1,Uploaded
OR,ORCMTH-01_CUT_P41,Feb 18 2025 12:20AM,Partial Closed,NO,Partial Closed,1,1,Not Uploaded
BH,BHPAT-1236_PAT_P41,Feb 19 2025 12:20PM,Drive Completed,NO,PASS,2,1,Uploaded
BH,BHPAT-1202_PAT_P41,Feb 19 2025  1:44PM,Drive Completed,NO,PASS,2,1,Uploaded
BH,BHPAT-949_PAT_P41,Feb 20 2025  9:08AM,Drive Completed,NO,PASS,2,1,Uploaded
BH,BHPAT-952_PAT_P41,Feb 20 2025 11:43AM,Drive Completed,NO,PASS,2,1,Uploaded
MH,PUN5193_PNE_P40,Feb 20 2025  1:15PM,Drive Completed,NO,PASS,2,1,Uploaded
BH,BHPAT-1195_PAT_P41,Feb 20 2025  2:34PM,Drive Completed,NO,PASS,2,1,Uploaded
BH,BHPAT-1256_PAT_P41,Feb 20 2025  5:08PM,Drive Completed,NO,PASS,2,1,Uploaded
MH,PUN2793_PNE_P40,Feb 20 2025  5:19PM,Drive Completed,NO,PASS,2,1,Uploaded
MH,PUN758_PNE_P40,Feb 20 2025  6:55PM,Drive Completed,NO,PASS,2,1,Uploaded
BH,BHHAJ-91_PAT_P41,Feb 22 2025  3:04PM,Drive Completed,NO,PASS,2,1,Uploaded
CH,KUNR56_CHN_P41,Feb 24 2025  2:03PM,Drive Completed,NO,PASS,2,1,Uploaded
MH,PUN1868_PNE_P40,Mar  1 2025  6:39PM,Drive Completed,NO,PASS,2,1,Uploaded
UW,BELA06_AGR_P41,Mar  4 2025 12:20AM,Partial Closed,NO,Partial Closed,1,1,Not Uploaded
MH,PUN5210_PNE_P40,Mar  4 2025  9:58PM,Drive Completed,NO,PASS,4,1,Uploaded
